source_id_cache,n_variables,variables
Ahmad_and_Goparaju_-_2017_-_Land_Evaluation_in_terms_of_Agroforestry_Suitability,15,annual_precipitation;distance_river;elevation;land_cover;poverty;slope;soil_depth;soil_drainage;soil_erosion;soil_k;soil_n;soil_organic_carbon;soil_p;soil_ph;wetness_factor
Ahmad_et_al__-_2018_-_Assessment_of_remote_sensing_and_GIS_application_in_identi,15,annual_precipitation;elevation;land_cover;ndvi;poverty;slope;soil_drainage;soil_erosion;soil_k;soil_n;soil_organic_carbon;soil_p;soil_ph;soil_texture;wetness_factor
Ahmad_et_al__-_2020_-_Quantification_of_the_Land_Potential_for_Scaling_Agrofores,14,annual_precipitation;aridity_index;climate_type_koppen;elevation;evapotranspiration;land_cover;mean_annual_temperature;ndvi;poverty;slope;soil_erosion;soil_moisture;tmin;tree_canopy_cover
Baldwin_et_al__-_2022_-_Geospatial_Analysis_and_Land_Suitability_for__FloodWise_,8,annual_precipitation;elevation;land_cover;ndvi;slope;soil_drainage;soil_erosion;tenure
Brandt_et_al__-_2015_-_How_to_target_climate-smart_agriculture_Concept_and_appli,11,annual_precipitation;aridity_index;distance_market;land_cover;literacy;ndvi;poverty;protected_areas;soil_erosion;soil_organic_carbon;tree_canopy_cover
Castle_et_al__-_2025_-_Mapping_the_social-ecological_suitability_of_agroforestry,12,annual_precipitation;elevation;land_cover;poverty;protected_areas;soil_depth;soil_drainage;soil_erosion;soil_ph;soil_texture;tenure;tmin
Chuma_et_al__-_2021_-_Suitability_for_agroforestry_implementation_around_Itombwe,15,annual_precipitation;aspect;climate_type_koppen;distance_river;distance_road;elevation;land_cover;mean_annual_temperature;poverty;protected_areas;slope;soil_erosion;soil_n;soil_organic_carbon;tmin
Ellis_et_al__-_2000_-_A_GIS-based_database_management_application_for_agroforest,12,annual_precipitation;land_cover;poverty;protected_areas;soil_drainage;soil_erosion;soil_n;soil_ph;soil_texture;tmax;tmin;tree_canopy_cover
Haile_-_2024_-_Land_Suitability_Evaluation_for_Agroforestry_Using_Geospatial_Tec,14,annual_precipitation;elevation;land_cover;mean_annual_temperature;poverty;slope;soil_erosion;soil_k;soil_moisture;soil_n;soil_organic_carbon;soil_p;soil_ph;wetness_factor
Haris_et_al__-_2021_-_Land_suitability_evaluation_of_crops_that_form_agroforestr,11,annual_precipitation;land_cover;slope;soil_cec;soil_depth;soil_drainage;soil_erosion;soil_k;soil_organic_carbon;soil_ph;soil_texture
Kiziridis_et_al__-_2026_-_Agroforestry_Optimisation_for_Climate_Policy_Mapping_S,11,annual_precipitation;aspect;elevation;land_cover;mean_annual_temperature;population_density;slope;soil_organic_carbon;soil_texture;temp_seasonality;tree_canopy_cover
Marinis_et_al__-_2022_-_The_Rapid_and_Participatory_Assessment_of_Land_Suitabili,8,annual_precipitation;elevation;land_cover;poverty;protected_areas;slope;soil_depth;soil_organic_carbon
Mendonc_a_et_al__-_2022_-_Spatial_indicator_of_priority_areas_for_the_implementa,9,annual_precipitation;climate_type_koppen;elevation;land_cover;protected_areas;slope;soil_drainage;soil_erosion;tree_canopy_cover
Mendonc_a_et_al__-_2023_-_Multicriteria_spatial_model_to_prioritize_degraded_are,9,annual_precipitation;aspect;climate_type_koppen;land_cover;protected_areas;slope;soil_erosion;tenure;tree_canopy_cover
Mushtaq_et_al__-_2023_-_Multi-criteria_land_suitability_assessment_for_mulberry-,10,annual_precipitation;elevation;land_cover;mean_annual_temperature;poverty;slope;soil_depth;soil_drainage;soil_ph;soil_texture
Nath_et_al__-_2021_-_Agroforestry_land_suitability_analysis_in_the_Eastern_India,20,annual_precipitation;aridity_index;aspect;climate_type_koppen;elevation;evapotranspiration;land_cover;mean_annual_temperature;ndvi;poverty;slope;soil_awc;soil_bulk_density;soil_cec;soil_drainage;soil_erosion;soil_moisture;soil_organic_carbon;soil_ph;tree_canopy_cover
Palma_et_al__-_2007_-_Integrating_environmental_and_economic_performance_to_asse,7,annual_precipitation;land_cover;poverty;protected_areas;soil_depth;soil_erosion;soil_n
Pinto_et_al__-_2019_-_Spatial_modelling_of_biodiversity_conservation_priorities_,6,annual_precipitation;land_cover;population_density;poverty;protected_areas;tree_canopy_cover
Seja_et_al__-_2022_-_Integrated_Analytical_Hierarchical_Process_and_Geographical,9,annual_precipitation;elevation;land_cover;mean_annual_temperature;protected_areas;slope;soil_erosion;soil_moisture;tmax
Singh_et_al__-_2024_-_Leveraging_Remote_Sensing_and_Nanotechnology_to_Overcome_B,12,annual_precipitation;distance_market;elevation;land_cover;ndvi;poverty;soil_drainage;soil_n;soil_organic_carbon;soil_ph;soil_texture;tenure
Unger_and_Lakes_-_2023_-_Land_Use_Conflicts_and_Synergies_on_Agricultural_Land_i,5,annual_precipitation;land_cover;poverty;protected_areas;soil_erosion
Wotlolan_et_al__-_2021_-_Land_suitability_evaluation_for_multiple_crop_agrofores,9,annual_precipitation;elevation;land_cover;mean_annual_temperature;slope;soil_drainage;soil_erosion;soil_ph;tenure
Yadav_et_al__-_2024_-_A_Prototype_Decision_Support_System_for_Tree_Selection_and,13,annual_precipitation;climate_type_koppen;land_cover;mean_annual_temperature;poverty;slope;soil_bulk_density;soil_drainage;soil_erosion;soil_organic_carbon;soil_texture;tmax;tree_canopy_cover
