tool_id,name,tool_type,url,organisation,repo_commit,license,language,nbs_ids,spatial_method,membership_functions,weighting_scheme,variables_used,datasets_used,workflow_summary,validation,benchmark_tier,combined_score,maturity,source_id,evidence_ids,locator,review_status,notes
spatmcda_r,spatMCDA — reference MCDA implementation,r_package,https://github.com/CIAT/nbs_ruralscan/blob/main/reference/R/spatMCDA.R,Alliance Bioversity-CIAT (B. Kenduiywo),,,r,,mcda_ahp,,ahp|critic|entropy,,,Generic spatial MCDA engine: CRITIC+Entropy+AHP criterion weighting -> continuous + 4-class suitability (terra/sf). NbS-agnostic.,partial,,,active,,,reference/R/spatMCDA.R,canonical,"NbS-AGNOSTIC reference MCDA engine (B. Kenduiywo; AGENTS framework primitive). The committed script demos an agroforestry example, but the tool is generic — applies to any NbS. Do NOT read the demo title as an agroforestry association."
saraheb3_af_midwest,Agroforestry social-ecological suitability (US Midwest),codebase,https://github.com/saraheb3/AgroforestrySuitability,academic (Eberle et al.),af338e8251c6bde4fa46caccf4e92124f80d7623,CC0-1.0,gee_js,agroforestry,rule_based,,"Per-practice environmental-priority sub-criterion weights sit on a 0–10 slider scale (wind-erosion WEI, water-erosion, soil-organic-carbon; saraheb3_af_app L268,270,285). Four top-level criteria (environmental-priority · tree-suitability · social-feasibility · economic-viability) on 0–5 (L253-256); water-quality surface/ground 0–5 step 0.5. Region-specific HUC default weight-sets preloaded. So a per-practice weight of 5 ⇒ 5/10. Provenance: gee_script app, commit af338e8251c6bde4fa46caccf4e92124f80d7623.",,,Social-ecological multi-criteria suitability mapping for agroforestry,partial,,,active,saraheb3_af_midwest,ev_production_gap_saraheb3_tool|ev_soil_erosion_risk_saraheb3_tool|ev_soil_erosion_risk_saraheb3_p1_water|ev_soil_erosion_wind_saraheb3_p1_wind|ev_carbon_sequestration_potential_saraheb3_p1_soil|ev_soil_erosion_risk_saraheb3_p2_water|ev_soil_erosion_wind_saraheb3_p2_wind|ev_carbon_sequestration_potential_saraheb3_p2_soil|ev_soil_erosion_risk_saraheb3_p3_water|ev_soil_erosion_wind_saraheb3_p3_wind|ev_carbon_sequestration_potential_saraheb3_p3_soil|ev_soil_erosion_risk_saraheb3_p4_water|ev_soil_erosion_wind_saraheb3_p4_wind|ev_carbon_sequestration_potential_saraheb3_p4_soil|ev_land_cover_saraheb3_cdl,,pending_review,Accompanies IOP paper 'Mapping the social-ecological suitability of agroforestry in the US Midwest' (10.1088/1748-9326/adab09). GEE variant: saraheb3/AgroforestrySuitability_GEE. Code-level EV (per-practice env-priority weights + CDL eligibility) extracted from the GEE map script -> source saraheb3_af_map (file_line+commit_sha).
joshbrew_inat_af,Agroforestry Suitability Mapping with iNaturalist,codebase,https://github.com/joshbrew/Agroforestry_Suitability_Mapping_with_iNaturalist,independent,,MIT,python,agroforestry,ml,,eta_squared,,terraclimate|glim|hydrosheds|soilgrids250|mcd12q1|gbif_inaturalist,eta-squared empirical weighting blended with XGBoost/ExtraTrees ML on iNaturalist/GBIF occurrences,unvalidated,,,active,,,,pending_review,"Species-occurrence-driven (iNaturalist/GBIF) -> species_envelope flavour; outputs are species, not practice-level."
icraf_spacial,CIFOR-ICRAF SPACIAL Dashboards,webgis,https://dashboards.icraf.org/,CIFOR-ICRAF,,,na,,rule_based,,,,,Interactive spatial dashboards for land-use / restoration / agroforestry decision support,unvalidated,,,active,,,,pending_review,CIFOR-ICRAF interactive spatial dashboards. Scope NOT verified as agroforestry-specific (landing page unreachable on probe); ICRAF's agroforestry brand is not evidence the dashboards are agroforestry-scoped (PICOS). Tag left blank pending verification.
wri_flr_atlas,WRI Atlas of Forest Landscape Restoration Opportunity,platform,https://www.wri.org/data/methodology-data-atlas-forest-landscape-restoration-opportunity,WRI,,,na,,rule_based,,,,,Global/national forest landscape restoration opportunity mapping (methodology + data),partial,,,active,,,,pending_review,Forest-landscape restoration scope (not pure agroforestry) -> relevant to a future restoration recipe.
iucn_wri_roam,Restoration Opportunities Assessment Methodology (ROAM),method_framework,https://portals.iucn.org/library/sites/library/files/documents/2014-030.pdf,IUCN & WRI,,,na,,rule_based,,expert,,,Phased restoration opportunity assessment; multi-criteria suitability mapping + stakeholder-defined rules,partial,High,2.5,active,,,,pending_review,In stocktake grey-23 (High tier). India ROAM technical note acquired (wri_roam_india) - forest-restoration scope.
d4r_diversity_restoration,Diversity for Restoration (D4R),webgis,https://alliancebioversityciat.org/tools-innovations/diversity-restoration-d4r,Alliance Bioversity-CIAT + CIFOR-ICRAF,,,na,,optimization,,,,,"Online DSS: habitat-suitability models (present+projected climate) + functional traits + local knowledge -> optimised, complementary species portfolios + seed-zone maps for restoration",partial,,,active,,,,pending_review,"Our-org tool (named in TORs). SPECIES-LEVEL (habitat suitability per species, seed sourcing) -> species-envelope realm, not practice-level spatial suitability; keep claim_scope discipline. nbs_ids blank: restoration species selection generally, not a single NbS practice. Sister tool: Diversity for Agroforestry."
d4ag_diversity_agroforestry,Diversity for Agroforestry (D4Ag),webgis,https://alliancebioversityciat.org/tools-innovations/diversity-restoration-d4r,Alliance Bioversity-CIAT + CIFOR-ICRAF,,,na,agroforestry,optimization,,,,,D4R sister tool: tree-species recommendations + planting designs for cacao and coffee agroforestry systems,partial,,,active,,,,pending_review,PICOS-clean: explicitly agroforestry (cacao/coffee AF). Species-level recommendations -> species-envelope; distinct from practice-level suitability. Verify exact URL/scope on review.
biodiversityr,BiodiversityR,r_package,https://cran.r-project.org/package=BiodiversityR,CIFOR-ICRAF (R. Kindt),,GPL,r,,ml,,,,,Ensemble species-distribution / suitability modelling + mapping + community-ecology stats (R-Commander GUI). CRAN.,partial,,,active,,,,pending_review,"SPECIES-LEVEL ensemble SDM (species-envelope), NbS-agnostic -> distinct from practice-level suitability. Maintainer R. Kindt (ICRAF). Companion species DBs (TreeGOER, GlobUNT, EcoregionsTreeFinder, Agroforestry Species Switchboard) are REPOSITORIES/grey sources, not tools."
esi_ibsti_targeting,Extrapolation Suitability Index (ESI) + Impact-Based Spatial Targeting Index (IBSTI),method_framework,https://hdl.handle.net/10568/89935,CIAT / CGIAR,,,na,,other,,,,,"Extrapolation-detection algorithm -> environmental dissimilarity maps (reference trial sites vs projection domain), correlation-aware -> Extrapolation Suitability Index (ESI); ESI x impact -> IBSTI priority zones. Demoed on maize+fertilizer in Tanzania.",partial,,,active,,,,pending_review,"Practice/technology-level spatial-targeting method (NOT species). Source: Tamene/Coe et al. 2017, hdl 10568/89935. nbs_ids blank: general ag-technology-package targeting; demo = maize+fertilizer, AF is one applicable package (PICOS). Inputs: bioclimatic layers + on-farm yield-gap data."
rs_targeting_restoration_africa,Remote Sensing & Climate Data for Targeting Landscape Restoration in Africa,method_framework,https://hdl.handle.net/10568/106885,CIFOR-ICRAF (Tamene et al.),,,na,,rule_based,,,,,"Satellite (1982-2003) + climate -> land-degradation hotspots -> simulate SLM/restoration interventions (ISFM, conservation ag, SWC, exclosures, agroforestry) with cost-benefit + trade-off for spatial land-use planning.",partial,,,active,,,,pending_review,"Source: Tamene et al. 2019, hdl 10568/106885. nbs_ids blank: general land-degradation/restoration targeting; agroforestry is ONE of several modelled interventions, not the subject (PICOS)."
